Designator,Mid X,Mid Y,Layer,Rotation
C1,24.13,21.59,Top,180.0
C2,24.13,19.05,Top,180.0
C3,36.04,21.69,Top,0.0
C4,36.02,19.05,Top,0.0
C5,25.03, 3.07,Top,180.0
D1, 7.57, 6.07,Top,90.0
ESP,24.13, 7.62,Top,90.0
J1, 2.13,18.80,Top,270.0
OK1,18.62, 6.86,Top,0.0
OLED,24.13,21.59,Top,180.0
R1,14.25, 4.01,Top,270.0
R2,24.87,11.35,Top,0.0
R3,35.69, 7.59,Top,270.0
R4,24.87, 9.25,Top,0.0
R5,15.37,12.40,Top,270.0
R6, 9.91,11.18,Top,270.0
R7, 9.30,20.02,Top,90.0
R8, 9.30,16.00,Top,270.0
REG,30.48,18.80,Top,180.0
RESET,38.73, 3.81,Top,180.0
S1,38.73,11.43,Top,0.0
T1,12.70,10.16,Top,180.0
U1,24.99, 5.44,Top,0.0


